Points (mm),meanU (m/s),<u'u'> (m2/s2),<u'v'> (m2/s2),<u'w'> (m2/s2),<v'v'> (m2/s2),<v'w'> (m2/s2),<w'w'> (m2/s2),xLu (m),yLu(m),zLu (m),xLv (m),yLv (m),zLv (m),xLw (m),yLw (m),zLw (m)
1655,14.95587,0.2882,-0.5476,0,0.07204894,0,0.184445287,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1665,14.94329,0.28431,-0.5476,0,0.071076258,0,0.181955219,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1675,14.94311,0.28945,-0.5476,0,0.072362545,0,0.185248116,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1685,14.96277,0.28601,-0.5476,0,0.071503289,0,0.18304842,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1695,14.90545,0.28626,-0.5476,0,0.071564846,0,0.183206006,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1705,14.95218,0.29045,-0.5476,0,0.072611775,0,0.185886143,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1715,14.92037,0.30764,-0.5476,0,0.076909563,0,0.196888481,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1725,14.93979,0.32217,-0.5476,0,0.080543018,0,0.206190126,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1735,14.93484,0.31655,-0.5476,0,0.0791386,0,0.202594817,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1745,14.92991,0.29599,-0.5476,0,0.07399627,0,0.189430452,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1755,14.89265,0.31327,-0.5476,0,0.078318423,0,0.200495163,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1765,14.92762,0.3154,-0.5476,0,0.078851126,0,0.201858884,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1775,14.90946,0.32316,-0.5476,0,0.080790025,0,0.206822465,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1785,14.87299,0.32599,-0.5476,0,0.081497499,0,0.208633598,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1795,14.8812,0.32329,-0.5476,0,0.080822467,0,0.206905516,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
1805,14.91643,0.31256,-0.5476,0,0.078140131,0,0.200038736,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1
